file_path,surface,role_channel,route_or_function,function_name,state,locale,source_commit_or_build,width,height,sha256,real_runtime_verified,branding_verified,brand_anchor_present,reviewer_notes
ScreenShots/01_Mobile/B2B_Customer/01_شاشة_الدخول__default__ar.png,mobile,B2B Customer,/b2b/login,شاشة_الدخول,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,62ff6376b4fc9dc8e269c0b85d6bbcacef10d6888d629943e68d22ce193eb780,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/01_شاشة_الدخول__default__en.png,mobile,B2B Customer,/b2b/login,شاشة_الدخول,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,50eb994ceef41780df2ac9b7c9540070acc72b28d1a9236212dcaa9802627e3b,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/02_الصفحة_الرئيسية_Dashboard__populated__ar.png,mobile,B2B Customer,/b2b/dashboard,الصفحة_الرئيسية_Dashboard,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,d045b22bf8483c460594c6a619da4454bab8e591837eb2d8131dcd2b6eba1dd8,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/02_الصفحة_الرئيسية_Dashboard__populated__en.png,mobile,B2B Customer,/b2b/dashboard,الصفحة_الرئيسية_Dashboard,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,67e750a2654d0bf8f53ce565cdc0c97fe30882a9c8d5f4755cd459e484d6c772,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/03_تقارير_المشتريات_والرسوم_البيانية__populated__ar.png,mobile,B2B Customer,/b2b/reports/purchases,تقارير_المشتريات_والرسوم_البيانية,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,7f7bc308d08bdb264abddcc8e71b274ec7d734fee634017ccf852852422b37a7,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/03_تقارير_المشتريات_والرسوم_البيانية__populated__en.png,mobile,B2B Customer,/b2b/reports/purchases,تقارير_المشتريات_والرسوم_البيانية,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,4647d05dbe6b040305fdd35145a2f0251d8bc6b14faa0d8b7f50344eea419ea2,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/04_أكثر_المنتجات_طلبا__populated__ar.png,mobile,B2B Customer,/b2b/products/top,أكثر_المنتجات_طلبا,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,7ae75e7b3a5847b1f009498f164520b380871da8dc24beaec1f830e6b71f0675,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/04_أكثر_المنتجات_طلبا__populated__en.png,mobile,B2B Customer,/b2b/products/top,أكثر_المنتجات_طلبا,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,65c25c5a5e4c72172fbdf355913df5a8a2db4673e6591d62ad5f9382d457e54e,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/05_آخر_الفواتير__populated__ar.png,mobile,B2B Customer,/b2b/invoices,آخر_الفواتير,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,60540a418644d2cf03b9d11852ea165a83f9ad7b932f310c5d0a476fe0097496,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/05_آخر_الفواتير__populated__en.png,mobile,B2B Customer,/b2b/invoices,آخر_الفواتير,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,ad479d4835b3b78b2907b29e257c789c1ba484af4abb2b84f91742a0c05c8eb5,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/06_كشف_الحساب_والمعاملات__populated__ar.png,mobile,B2B Customer,/b2b/account-statement,كشف_الحساب_والمعاملات,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,63bdf2f37258137364fd4cc0b9f731c1f27c2de0a2618d44d0f9715c5cec896a,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/06_كشف_الحساب_والمعاملات__populated__en.png,mobile,B2B Customer,/b2b/account-statement,كشف_الحساب_والمعاملات,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,cfe34980c35e9e5d4f3951ef95d5bab29418aa96bb2b381cc6e47a6081c92b72,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/07_طلباتي__populated__ar.png,mobile,B2B Customer,/b2b/orders,طلباتي,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,a92ee29f6f5ae81e83f9ec5ab68eae178108c6484eee5d398eba74fda95d797f,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/07_طلباتي__populated__en.png,mobile,B2B Customer,/b2b/orders,طلباتي,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,b357509d377bcf7a209c823c988a7e6ac631d8c6dc280742254b3f70aa1aced4,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/08_تفاصيل_الطلب_وتتبع_الحالة__populated__ar.png,mobile,B2B Customer,/b2b/orders/:id,تفاصيل_الطلب_وتتبع_الحالة,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,d2a39f0ab5e5e8d1ddf6f3a1a52a62104e0b2244f0761bde8c97be74e3f0ac1e,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
